invoice_no,stock_code,description,quantity,invoice_date,unit_price,customer_id,country
555795,22960,Jam Making Set With Jars,33,20-07-2023 07:12,5.47,13708,United Kingdom
540860,84406B,Cream Cupid Hearts Coat Hanger,7,22-09-2023 01:25,1.32,17085,United Kingdom
545390,20727,Lunch Bag Black Skull,10,06-07-2023 07:09,1.42,15693,France
551964,20725,Lunch Bag Red Retrospot,8,16-10-2023 12:26,2.6,13947,United Kingdom
551284,22745,Poppy’s Playhouse Bedroom,32,27-12-2023 04:15,4.78,16241,United Kingdom
546265,20727,Lunch Bag Black Skull,23,20-09-2023 07:16,2.31,13549,France
556850,22086,Paper Chain Kit 50’s Christmas,17,07-03-2023 18:16,3.23,16278,United Kingdom
544426,22748,Poppy’s Playhouse Kitchen,14,07-04-2023 18:57,1.28,16410,United Kingdom
554423,84879,Assorted Colour Bird Ornament,17,18-10-2023 04:47,1.54,15948,United Kingdom
551363,22086,Paper Chain Kit 50’s Christmas,25,03-04-2023 14:32,3.81,16754,France
556023,22961,Jam Making Set Printed,21,09-06-2023 12:05,2.04,14791,France
548322,84029G,Union Flag Hot Water Bottle,6,14-09-2023 20:48,4.19,12995,Spain
541685,85123A,White Hanging Heart T-Light Holder,20,27-04-2023 02:41,4.58,14856,Germany
540769,22748,Poppy’s Playhouse Kitchen,20,17-12-2023 04:58,4.86,12651,Netherlands
542433,20727,Lunch Bag Black Skull,26,29-06-2023 19:32,1.78,17779,United Kingdom
545311,84029G,Union Flag Hot Water Bottle,32,04-02-2023 12:30,3.16,12892,United Kingdom
545051,20727,Lunch Bag Black Skull,8,23-10-2023 05:09,5.27,14836,United Kingdom
546420,84029G,Union Flag Hot Water Bottle,29,22-10-2023 03:32,4.52,14002,United Kingdom
557568,84406B,Cream Cupid Hearts Coat Hanger,17,20-01-2023 07:08,1.7,13064,United Kingdom
559769,21730,Glass Star Frosted T-Light Holder,18,19-12-2023 22:11,3.36,14430,Spain
546396,21730,Glass Star Frosted T-Light Holder,18,03-08-2023 14:18,5.17,12168,France
C548666,22960,Jam Making Set With Jars,-3,22-02-2023 05:34,3.09,12170,Germany
558942,22633,Hand Warmer Red Polka Dot,12,20-05-2023 04:38,4.8,15689,United Kingdom
C558431,84029G,Union Flag Hot Water Bottle,-8,16-05-2023 06:33,3.33,12738,United Kingdom
542747,22745,Poppy’s Playhouse Bedroom,26,18-06-2023 01:33,1.66,15527,United Kingdom
540189,22745,Poppy’s Playhouse Bedroom,3,02-05-2023 15:26,1.84,15562,France
559118,22469,Heart of Wicker Small,3,19-05-2023 00:55,1.4,13317,United Kingdom
543005,84029G,Union Flag Hot Water Bottle,38,26-01-2023 10:38,2.04,13287,United Kingdom
541899,21977,Pack of 60 Pink Paper Doilies,35,03-08-2023 22:46,5.04,14294,United Kingdom
541267,22632,Hand Warmer Union Jack,9,07-02-2023 10:00,4,16243,Italy
557912,22748,Poppy’s Playhouse Kitchen,4,13-05-2023 01:31,4.38,16036,Netherlands
551394,22086,Paper Chain Kit 50’s Christmas,20,15-10-2023 14:06,3.87,16536,Netherlands
543556,22745,Poppy’s Playhouse Bedroom,15,16-07-2023 13:09,2.86,16457,Belgium
543890,85123A,White Hanging Heart T-Light Holder,29,22-04-2023 05:03,2.13,14269,France
548838,22961,Jam Making Set Printed,5,23-05-2023 14:30,5.18,12657,Netherlands
554502,20725,Lunch Bag Red Retrospot,39,29-12-2023 02:19,3.41,16203,United Kingdom
550627,22633,Hand Warmer Red Polka Dot,7,04-11-2023 04:33,3.27,17334,United Kingdom
548792,85123A,White Hanging Heart T-Light Holder,8,28-01-2023 22:54,5.48,15201,United Kingdom
550555,22633,Hand Warmer Red Polka Dot,32,27-05-2023 01:21,2.85,12575,United Kingdom
550253,22633,Hand Warmer Red Polka Dot,36,06-11-2023 02:26,4.87,12299,Spain
548433,22632,Hand Warmer Union Jack,33,22-03-2023 23:19,4.91,15506,United Kingdom
550233,85123A,White Hanging Heart T-Light Holder,37,15-01-2023 16:01,2.2,13892,Germany
551016,84406B,Cream Cupid Hearts Coat Hanger,32,26-09-2023 12:58,1.61,17481,Italy
542612,20725,Lunch Bag Red Retrospot,36,03-08-2023 06:07,5.4,12223,United Kingdom
555787,22748,Poppy’s Playhouse Kitchen,34,23-01-2023 08:15,3.03,15648,United Kingdom
557159,84879,Assorted Colour Bird Ornament,25,02-12-2023 12:30,1.21,17493,United Kingdom
552206,85123A,White Hanging Heart T-Light Holder,32,09-07-2023 19:04,3.35,14741,United Kingdom
548226,85123A,White Hanging Heart T-Light Holder,2,08-10-2023 14:28,3.86,17227,United Kingdom
